,"Aguascalientes, Real de Asientos","Aguascalientes, Calvillo","Aguascalientes, San Jose de Gracia","Baja California, Tecate","Baja California Sur, Todos Santos","Baja California Sur, Loreto","Campeche, Isla Aguada","Campeche, Palizada","Coahuila, Parras de la Fuente","Coahuila, Cuatro Cienegas","Coahuila, Arteaga","Coahuila, Viesca","Coahuila, Candela","Coahuila, Guerrero","Coahuila, Melchor Muzquiz","Colima, Comala","Chiapas, San Cristobal de las Casas","Chiapas, Comitan de Dominguez","Chiapas, Chiapa de Corzo","Chiapas, Palenque","Chihuahua, Creel","Chihuahua, Batopilas","Chihuahua, Casas Grandes","Durango, Mapimi","Durango, Nombre de Dios","Guanajuato, Dolores Hidalgo","Guanajuato, Mineral de Pozos","Guanajuato, Jalpa","Guanajuato, Salvatierra","Guanajuato, Yuriria","Guanajuato, Comonfort","Guerrero, Taxco","Hidalgo, Real del Monte","Hidalgo, Huasca de Ocampo","Hidalgo, Mineral del Chico","Hidalgo, Huichapan","Hidalgo, Tecozautla","Hidalgo, Zempoala","Hidalgo, Zimapan","Jalisco, Mazamitla","Jalisco, Tapalpa","Jalisco, Tequila","Jalisco, San Sebastian del Oeste","Jalisco, Lagos de Moreno","Jalisco, Mascota","Jalisco, Talpa de Allende","Jalisco, Ajijic","Jalisco, Tlaquepaque","Mexico, Malinalco","Mexico, Tepotzotlan","Mexico, Valle de Bravo","Mexico, El Oro","Mexico, Metepec","Mexico, Aculco","Mexico, Ixtapan de la Sal","Mexico, Teotihuacan y San Martin de las Piramides","Mexico, Villa del Carbon","Mexico, Tonatico","Michoacan, Cuitzeo","Michoacan, Patzcuaro","Michoacan, Sta. Clara del Cobre","Michoacan, Tlalpujahua","Michoacan, Angangueo","Michoacan, Tacambaro","Michoacan, Jiquilpan","Michoacan, Tzintzuntzan","Michoacan, Paracho","Morelos, Tepoztlan","Morelos, Tlayacapan","Nayarit, Jala","Nayarit, Sayulita","Nayarit, Compostela","Nayarit, Mexcaltitan","Nuevo Leon, Santiago","Nuevo Leon, Linares","Nuevo Leon, Bustamante","Oaxaca, Capulalpam de Mendez","Oaxaca, Huautla de Jimenez","Oaxaca, Mazunte","Oaxaca, San Pablo Villa de Mitla","Oaxaca, San Pedro y San Pablo Teposcolula","Oaxaca, Santa Catarina Juquila","Puebla, Cuetzalan del Progreso","Puebla, Zacatlan","Puebla, Pahuatlan","Puebla, Chignahuapan","Puebla, Cholula","Puebla, Tlatlauquitepec","Puebla, Xicotepec","Puebla, Atlixco","Puebla, Huahuchinango","Puebla, Tetela de Ocampo","Queretaro, Bernal","Queretaro, Jalpan de Serra","Queretaro, Cadereyta de Montes","Queretaro, Tequisquiapan","Queretaro, San Joaquin","Queretaro, Amealco de Bonfil","Quintana Roo, Bacalar","Quintana Roo, Isla Mujeres ","Quintana Roo, Tulum","San Luis Potosi, Real de Catorce","San Luis Potosi, Xilitla","San Luis Potosi, Santa María del Río","San Luis Potosi, Aquismón","Sinaloa, Cosala","Sinaloa, El Fuerte","Sinaloa, El Rosario","Sinaloa, Mocorito","Sonora, Alamos","Sonora, Magdalena de Kino","Tabasco, Tapijulapa","Tamaulipas, Mier","Tamaulipas, Tula","Tlaxcala, Huamantla","Tlaxcala, Tlaxco","Veracruz, Coatepec","Veracruz, Xico","Veracruz, Papantla","Veracruz, Orizaba","Veracruz, Zozocolco","Veracruz, Coscomatepec","Yucatan, Izamal","Yucatan, Valladolid","Yucatan, Mani","Yucatan, Sisal","Zacatecas, Jerez de Garcia Salinas","Zacatecas, Teul de Gonzalez Ortega","Zacatecas, Sombrerete","Zacatecas, Pinos","Zacatecas, Nochistlan","Zacatecas, Guadalupe"
"Coahuila, Arteaga",479.666,545.383,477.225,2055.6,1527.882,1805.772,1787.728,1753.498,162.121,277.339,0.0,252.733,227.916,423.117,339.818,923.379,1703.719,1793.888,1659.715,1707.612,999.045,912.95,1039.79,343.043,559.597,564.911,555.202,650.224,705.673,695.606,613.898,935.763,852.888,871.485,864.176,712.163,715.411,847.073,760.423,786.965,849.747,786.259,970.856,579.265,923.05,920.278,747.771,717.079,867.761,785.926,854.252,778.324,816.101,708.335,873.416,838.539,785.589,876.076,717.39,800.315,812.098,768.303,778.953,848.73,741.403,793.002,816.255,907.914,907.105,856.965,1012.438,925.157,959.803,119.18,212.503,182.586,1348.74,1208.811,1536.91,1319.987,1236.56,1470.86,1081.609,955.129,923.639,950.089,939.352,1039.369,948.178,968.82,935.862,1000.513,675.489,579.33,689.712,679.326,755.907,689.219,2138.648,2442.616,2348.917,272.721,669.671,468.174,633.667,920.818,1242.818,897.14,1089.492,1373.075,1442.222,1644.06,241.761,421.235,951.155,919.155,1091.912,1101.206,836.659,1079.293,869.468,1115.42,2186.442,2277.58,2127.63,2150.294,431.501,590.902,487.129,526.395,607.164,396.375
"Coahuila, Viesca",573.198,638.914,570.756,1858.948,1331.23,1609.12,2039.317,2005.087,76.513,246.014,252.733,0.0,449.254,595.144,493.189,1014.369,1957.578,2047.747,1913.574,1961.471,806.136,720.041,846.881,150.134,366.688,818.77,809.06,737.727,875.099,854.241,867.757,1189.622,1106.747,1125.344,1118.035,966.022,969.27,1100.932,1014.282,877.954,940.736,877.248,1006.429,685.052,1014.04,1011.267,838.761,808.068,1121.62,1039.785,1108.11,1032.183,1069.96,962.193,1127.275,1092.397,1039.448,1129.935,876.025,958.95,970.733,1022.162,1032.812,1007.365,832.393,951.637,911.304,1161.772,1160.964,859.609,913.278,823.409,766.894,353.198,446.521,416.604,1602.599,1462.67,1790.769,1573.846,1490.419,1724.719,1335.468,1208.988,1177.498,1203.948,1193.21,1293.228,1202.037,1222.679,1189.721,1254.372,929.348,833.189,943.571,933.185,1009.766,943.078,2392.507,2696.475,2602.776,505.845,923.53,722.033,887.526,727.909,1049.909,704.231,896.583,1180.166,1249.313,1897.919,475.779,675.094,1205.014,1173.014,1345.771,1354.683,1070.677,1333.152,1103.486,1369.279,2440.3,2531.439,2381.488,2404.153,480.323,638.423,373.403,616.681,698.153,483.297
"Coahuila, Candela",694.194,759.911,691.752,2181.214,1721.625,1999.515,1813.834,1779.604,355.864,176.8,227.916,449.254,0.0,247.754,223.493,1146.05,1729.673,1819.842,1685.67,1733.566,1192.991,1106.896,1233.736,536.989,753.543,785.294,775.584,870.606,926.056,915.989,834.281,1156.146,1073.271,1091.868,1084.559,932.546,935.793,1067.455,980.806,1009.636,1072.418,1008.93,1193.527,799.647,1145.721,1142.949,970.442,939.749,1088.143,1006.309,1074.634,998.707,1036.484,928.717,1093.799,1058.921,1005.972,1096.458,937.773,1020.698,1032.48,988.686,999.335,1069.113,964.074,1013.385,1036.637,1128.296,1127.487,1079.636,1235.109,1147.827,1153.749,194.871,288.195,55.766,1569.123,1429.193,1757.293,1540.37,1456.943,1691.243,976.292,1013.992,1016.783,1008.952,1159.734,1045.246,953.963,1189.203,958.386,1059.376,895.872,799.713,910.094,899.709,976.29,909.602,2164.603,2468.571,2374.872,493.104,761.943,688.557,725.939,1114.764,1436.764,1091.086,1283.438,1567.021,1623.345,1670.015,209.3,593.649,1171.537,1041.645,1103.421,1112.333,912.35,1299.676,945.159,1335.803,2212.396,2303.534,2153.584,2176.249,654.171,813.573,709.799,748.362,829.834,619.045
"Coahuila, Guerrero",889.396,955.113,886.954,1934.232,1867.516,2063.532,2006.387,1972.157,501.755,299.417,423.117,595.144,247.754,0.0,152.327,1331.795,1920.923,2011.092,1876.919,1924.816,1112.26,1253.05,1095.715,683.142,899.697,980.257,970.547,1065.57,1121.019,1110.952,1029.244,1351.109,1268.234,1286.831,1279.522,1127.509,1130.756,1262.418,1175.769,1195.381,1258.162,1194.674,1379.271,994.61,1331.466,1328.693,1156.187,1125.494,1283.106,1201.272,1269.597,1193.67,1231.447,1123.68,1288.762,1253.884,1200.935,1291.421,1132.736,1215.661,1227.443,1183.649,1194.299,1264.076,1149.819,1208.348,1231.6,1323.259,1322.451,1265.381,1420.853,1333.572,1299.903,386.12,479.444,267.601,1764.086,1624.156,1952.256,1735.333,1651.906,1886.206,1167.541,1205.242,1208.032,1200.202,1354.697,1236.495,1145.212,1384.166,1149.635,1250.626,1090.835,994.676,1105.057,1094.672,1171.253,1104.565,2355.852,2659.82,2566.121,688.067,953.193,883.52,917.188,1260.918,1582.918,1237.24,1429.592,1713.175,1376.361,1861.264,271.408,784.898,1366.5,1232.895,1294.67,1303.964,1103.599,1494.639,1136.409,1530.766,2403.645,2494.783,2344.833,2367.498,839.916,999.317,895.544,934.107,1015.579,804.79
"Coahuila, Melchor Muzquiz",799.482,865.199,797.04,2003.156,1765.56,2043.45,2118.526,2084.296,399.799,197.462,339.818,493.189,223.493,152.327,0.0,1242.96,2034.932,2125.101,1990.928,2038.825,1237.134,1151.039,1169.367,581.132,797.686,896.124,886.415,981.437,1036.886,1026.819,945.111,1266.976,1184.101,1202.698,1195.389,1043.376,1046.624,1178.286,1091.636,1106.545,1169.327,1105.839,1290.436,910.478,1242.631,1239.858,1067.352,1036.659,1198.974,1117.139,1185.464,1109.537,1147.314,1039.547,1204.629,1169.751,1116.802,1207.289,1048.603,1131.528,1143.31,1099.516,1110.166,1179.943,1060.984,1124.215,1147.468,1239.126,1238.318,1176.545,1332.018,1244.737,1197.892,377.769,471.093,279.321,1679.953,1540.024,1868.123,1651.2,1567.773,1802.073,1159.19,1286.342,1254.852,1281.302,1270.565,1370.582,1279.391,1300.033,1267.075,1331.726,1006.702,910.543,1020.925,1010.539,1087.12,1020.432,2469.861,2773.829,2680.13,603.934,1000.884,799.387,964.88,1158.907,1480.907,1135.229,1327.581,1611.164,1450.013,1975.273,387.997,752.448,1282.368,1250.368,1423.125,1432.037,1095.248,1410.506,1128.058,1446.633,2517.654,2608.793,2458.843,2481.507,751.081,910.482,806.709,845.271,926.744,715.955
"Colima, Comala",483.388,467.684,468.855,2354.583,1385.374,1663.264,1705.873,1671.643,1044.2,1181.67,923.379,1014.369,1146.05,1331.795,1242.96,0.0,1618.507,1708.676,1574.503,1622.4,1626.93,1318.948,1667.676,970.928,769.722,525.875,599.173,382.163,526.293,498.275,518.726,793.503,767.676,786.273,778.964,643.373,640.821,761.861,685.833,133.037,153.05,236.961,403.829,386.051,356.024,353.252,203.425,208.852,725.5,701.224,711.991,582.272,673.84,638.222,731.155,753.836,659.119,733.815,469.048,522.418,534.201,575.263,586.243,570.833,177.831,454.673,420.195,798.915,798.106,307.667,463.14,375.859,487.911,1020.543,951.426,1083.949,1263.528,1123.599,1451.698,1234.775,1151.348,1385.648,996.397,869.917,838.427,864.877,854.139,954.157,862.966,883.608,850.65,915.301,600.899,727.841,615.122,604.736,681.317,613.925,2053.436,2357.404,2263.705,782.686,901.876,571.874,865.871,802.826,1124.826,541.571,971.5,1255.083,1715.863,1558.848,1143.125,721.487,865.943,833.943,1006.7,1015.994,980.959,994.081,963.9,1030.208,2101.229,2192.368,2042.417,2065.082,478.506,319.574,699.709,512.129,360.591,532.589
"Chiapas, San Cristobal de las Casas",1431.402,1415.699,1416.869,3604.502,2635.293,2913.183,521.847,329.627,1864.188,1973.642,1703.719,1957.578,1729.673,1920.923,2034.932,1618.507,0.0,93.05,54.142,213.113,2571.024,2484.929,2611.769,1915.022,1713.815,1221.448,1171.967,1305.893,1178.132,1208.021,1157.271,987.523,924.928,943.525,943.175,1051.246,1079.84,890.12,1033.455,1426.7,1555.622,1495.372,1679.969,1302.657,1632.164,1629.391,1453.646,1426.192,992.378,952.965,1034.473,1068.611,955.209,1016.584,1003.412,899.666,995.787,999.55,1178.794,1246.301,1258.083,1074.157,1099.596,1294.716,1381.138,1238.988,1306.226,915.18,902.472,1566.079,1721.551,1634.27,1746.322,1546.186,1449.88,1691.885,660.575,645.492,564.896,561.472,717.889,713.566,857.562,867.23,966.686,854.152,792.138,815.322,917.695,810.832,896.403,890.062,1117.499,1244.442,1095.25,1068.028,1158.041,1063.776,696.542,1065.676,906.811,1529.795,1167.385,1246.169,1184.631,2061.237,2383.237,1799.982,2229.911,2513.494,2974.274,161.295,1685.954,1468.596,797.266,816.227,722.242,731.154,846.533,625.579,909.638,632.476,809.501,900.639,750.689,773.354,1535.932,1554.371,1643.803,1385.201,1425.257,1476.346
"Chiapas, Comitan de Dominguez",1521.571,1505.868,1507.038,3694.671,2725.462,3003.352,506.562,338.969,1954.357,2063.811,1793.888,2047.747,1819.842,2011.092,2125.101,1708.676,93.05,0.0,143.349,222.417,2660.231,2574.136,2700.977,2004.229,1803.022,1310.655,1261.175,1395.101,1267.339,1297.229,1246.478,1076.73,1014.135,1032.732,1032.383,1140.453,1169.048,979.327,1122.663,1515.907,1644.829,1584.579,1769.177,1391.864,1721.371,1718.599,1542.854,1515.399,1081.585,1042.172,1123.68,1157.818,1044.417,1105.791,1092.62,988.873,1084.994,1088.758,1268.002,1335.508,1347.291,1163.364,1188.803,1383.923,1470.345,1328.195,1395.434,1004.387,991.68,1655.286,1810.759,1723.477,1835.529,1635.394,1539.088,1781.092,749.782,734.7,654.104,650.68,807.097,802.774,946.769,956.437,1055.893,943.359,881.346,904.529,1006.902,900.039,985.611,979.269,1206.706,1333.649,1184.457,1157.236,1247.249,1152.983,705.847,1074.98,916.116,1619.002,1256.593,1335.376,1273.838,2150.444,2472.444,1889.189,2319.118,2602.701,3063.481,254.479,1775.161,1557.803,886.473,905.435,811.449,820.743,935.741,714.786,998.845,721.683,818.806,909.944,759.994,782.658,1625.139,1643.579,1733.01,1474.409,1514.464,1565.553
"Chiapas, Chiapa de Corzo",1387.398,1371.695,1372.866,3560.498,2591.29,2869.179,477.844,443.613,1820.185,1929.639,1659.715,1913.574,1685.67,1876.919,1990.928,1574.503,54.142,143.349,0.0,263.433,2526.707,2440.612,2567.452,1870.705,1669.498,1177.131,1127.65,1261.576,1133.815,1163.704,1112.953,943.206,880.611,899.208,898.858,1006.929,1035.523,845.803,989.138,1382.382,1511.305,1451.055,1635.652,1258.34,1587.847,1585.074,1409.329,1381.875,948.06,908.648,990.155,1024.294,910.892,972.266,959.095,855.349,951.47,955.233,1134.477,1201.984,1213.766,1029.84,1055.279,1250.399,1336.821,1194.671,1261.909,870.863,858.155,1521.761,1677.234,1589.953,1702.005,1501.869,1405.563,1647.568,616.258,601.175,520.579,517.155,673.572,669.249,813.244,822.913,922.369,809.835,747.821,771.005,873.377,766.515,852.086,845.745,1073.182,1200.124,1050.932,1023.711,1113.724,1019.459,835.232,1139.2,1045.501,1485.477,1123.068,1201.851,1140.313,2016.92,2338.92,1755.665,2185.594,2469.177,2929.957,181.218,1641.637,1424.279,752.949,771.91,677.925,687.219,802.216,581.262,865.32,588.159,883.025,974.164,824.213,846.878,1491.615,1510.054,1599.485,1340.884,1380.94,1432.029
"Chiapas, Palenque",1435.295,1419.592,1420.762,3608.395,2639.186,2917.076,285.137,117.544,1868.081,1977.535,1707.612,1961.471,1733.566,1924.816,2038.825,1622.4,213.113,222.417,263.433,0.0,2577.06,2490.965,2617.806,1921.058,1719.851,1227.484,1178.004,1311.93,1184.168,1213.742,1163.307,993.559,930.964,949.561,949.212,1057.282,1085.877,896.156,1039.492,1432.736,1561.658,1501.408,1686.006,1308.693,1638.2,1635.428,1459.683,1432.228,998.414,959.001,1040.509,1074.647,961.246,1022.62,1009.449,905.702,1001.823,1005.587,1184.831,1252.337,1264.12,1080.193,1105.632,1300.752,1387.174,1245.024,1312.263,921.216,908.509,1572.115,1727.588,1640.306,1752.358,1552.223,1455.917,1697.922,694.081,651.529,802.365,798.942,914.791,951.035,863.598,873.266,972.722,860.188,798.175,821.358,923.731,816.868,902.44,896.098,1123.535,1250.478,1101.286,1074.065,1164.078,1069.812,485.326,854.46,695.595,1535.831,1173.422,1252.205,1190.667,2067.273,2389.273,1806.018,2235.948,2519.53,2980.31,158.3,1691.99,1474.632,803.302,822.264,728.278,737.572,852.57,631.615,915.674,638.512,598.285,689.424,539.473,562.138,1541.968,1560.408,1649.839,1391.238,1431.293,1482.383
"Chihuahua, Creel",1191.845,1257.562,1189.404,1461.448,740.125,940.955,2647.643,2613.413,887.063,961.269,999.045,806.136,1192.991,1112.26,1237.134,1626.93,2571.024,2660.231,2526.707,2577.06,0.0,136.106,452.027,674.289,867.008,1401.726,1425.118,1355.441,1492.812,1471.955,1471.702,1805.68,1722.805,1741.402,1734.093,1582.08,1585.327,1716.989,1630.34,1495.668,1558.45,1419.276,1488.977,1302.766,1631.753,1628.981,1456.474,1425.781,1737.677,1655.843,1724.168,1624.079,1686.017,1578.251,1743.333,1708.455,1655.506,1745.992,1493.739,1576.664,1588.446,1617.071,1628.051,1625.079,1450.106,1569.351,1529.018,1777.83,1777.021,1342.157,1395.826,1305.956,1249.442,1100.578,1193.901,1163.984,2218.657,2078.727,2406.827,2189.903,2106.477,2340.776,1951.525,1825.045,1793.555,1820.005,1809.268,1909.285,1818.094,1838.737,1805.779,1870.429,1545.405,1580.569,1559.628,1549.243,1625.823,1554.785,3008.565,3312.533,3218.834,1253.225,1670.91,1338.091,1634.906,1210.457,311.493,1186.779,508.788,291.35,854.458,2513.977,1223.159,1422.474,1821.071,1789.072,1961.828,1970.741,1818.057,1949.21,1850.866,1985.337,3056.358,3147.496,2997.546,3020.211,1098.037,1256.137,938.607,1234.394,1315.866,1101.011
"Chihuahua, Batopilas",1105.75,1171.467,1103.309,1505.915,623.359,903.466,2561.548,2527.318,800.968,875.174,912.95,720.041,1106.896,1253.05,1151.039,1318.948,2484.929,2574.136,2440.612,2490.965,136.106,0.0,588.121,584.83,777.549,1316.555,1339.946,1270.269,1407.641,1386.783,1386.53,1720.508,1637.633,1656.23,1648.921,1496.908,1500.155,1631.818,1545.168,1251.268,1245.599,1094.162,1163.863,1217.594,1267.799,1265.026,1195.451,1153.983,1652.506,1570.671,1638.996,1538.908,1600.846,1493.079,1658.161,1623.283,1570.334,1660.821,1408.567,1491.492,1503.274,1531.899,1542.879,1539.907,1364.934,1484.179,1443.846,1692.658,1691.85,1017.043,1070.711,980.842,924.327,1015.406,1108.73,1078.812,2133.485,1993.556,2321.655,2104.732,2021.305,2255.605,1866.354,1739.874,1708.384,1734.834,1724.096,1824.114,1732.922,1753.565,1720.607,1785.258,1460.234,1495.397,1474.457,1464.071,1540.652,1469.614,2923.393,3227.361,3133.662,1168.053,1585.738,1252.919,1549.734,642.456,194.851,861.664,392.146,405.815,866.595,2428.805,1137.988,1337.303,1735.9,1703.9,1876.657,1885.95,1732.885,1864.038,1765.694,1900.165,2971.186,3062.325,2912.374,2935.039,1012.865,1170.965,849.148,1149.222,1230.695,1015.839
"Chihuahua, Casas Grandes",1232.591,1298.308,1230.149,1021.362,1435.929,1102.748,2688.389,2654.159,927.809,1002.014,1039.79,846.881,1233.736,1095.715,1169.367,1667.676,2611.769,2700.977,2567.452,2617.806,452.027,588.121,0.0,749.964,1027.514,1444.838,1468.23,1398.553,1535.924,1515.067,1514.814,1848.792,1765.916,1784.513,1777.205,1625.192,1628.439,1760.101,1673.452,1538.78,1601.562,1538.073,1667.255,1345.878,1674.865,1672.093,1499.586,1468.893,1780.789,1698.955,1767.28,1667.191,1729.129,1621.363,1786.444,1751.567,1698.618,1789.104,1536.851,1619.776,1631.558,1660.182,1671.162,1668.191,1493.218,1612.463,1572.13,1820.942,1820.133,1520.435,1574.103,1484.234,1427.719,1143.69,1237.013,1207.096,2261.768,2121.839,2449.939,2233.015,2149.589,2383.888,1994.637,1868.157,1836.667,1863.117,1852.38,1952.397,1861.206,1881.849,1848.89,1913.541,1588.517,1623.681,1602.74,1592.354,1668.935,1597.897,3051.677,3355.644,3261.946,1296.337,1714.022,1381.202,1678.017,1388.735,1089.751,1365.056,1205.457,982.008,414.625,2557.088,1266.271,1465.586,1864.183,1832.184,2004.94,2013.852,1861.168,1992.322,1893.978,2028.448,3099.47,3190.608,3040.658,3063.322,1141.149,1299.248,1034.229,1277.506,1358.978,1144.122
"Durango, Mapimi",535.843,601.56,533.402,1759.56,1293.876,1571.766,1991.641,1957.411,231.061,305.267,343.043,150.134,536.989,683.142,581.132,970.928,1915.022,2004.229,1870.705,1921.058,674.289,584.83,749.964,0.0,329.046,746.371,769.763,700.085,837.457,816.599,816.346,1150.324,1067.449,1086.046,1078.737,926.724,929.972,1061.634,974.984,840.312,903.094,839.606,968.787,647.41,976.398,973.625,801.119,770.426,1082.322,1000.487,1068.812,968.724,1030.662,922.895,1087.977,1053.099,1000.15,1090.637,838.383,921.308,933.091,961.715,972.695,969.723,794.75,913.995,873.662,1122.474,1121.666,821.967,875.636,785.767,729.252,445.222,538.546,508.628,1563.301,1423.372,1751.471,1534.548,1451.121,1685.421,1296.17,1169.69,1138.2,1164.65,1153.913,1253.93,1162.739,1183.381,1150.423,1215.074,890.05,925.213,904.273,893.887,970.468,899.43,2353.209,2657.177,2563.478,597.869,1015.555,682.735,979.55,690.267,1012.267,666.589,858.941,1142.524,1150.991,1858.621,567.804,767.119,1165.716,1133.716,1306.473,1315.385,1162.701,1293.854,1195.511,1329.981,2401.002,2492.141,2342.191,2364.855,442.681,600.781,335.761,579.038,660.511,445.655
"Durango, Nombre de Dios",334.636,400.353,332.195,2037.11,1064.76,1342.65,1790.434,1756.204,447.615,521.821,559.597,366.688,753.543,899.697,797.686,769.722,1713.815,1803.022,1669.498,1719.851,867.008,777.549,1027.514,329.046,0.0,544.853,568.245,498.568,635.939,614.766,614.829,948.807,865.931,884.528,877.22,725.207,728.454,860.116,773.467,638.795,701.577,638.088,739.917,445.893,774.88,772.108,599.601,568.908,880.804,798.97,867.295,767.206,829.144,721.378,886.459,851.582,798.633,889.119,636.866,719.791,731.573,760.198,771.178,768.206,593.233,712.478,672.145,920.957,920.148,593.097,646.766,556.897,500.382,660.383,753.707,723.789,1361.783,1221.854,1549.954,1333.03,1249.604,1483.903,1094.652,968.172,936.682,963.132,952.395,1052.412,961.221,981.864,948.905,1013.556,688.532,698.841,702.755,692.369,768.95,697.912,2151.692,2455.659,2361.961,483.062,789.183,481.218,753.178,461.397,783.397,437.719,630.071,913.654,1374.434,1657.103,782.965,608.794,964.198,932.199,1104.955,1113.867,1079.214,1092.337,1062.156,1128.463,2199.485,2290.623,2140.673,2163.337,241.164,399.263,72.346,377.521,458.993,244.137
"Guanajuato, Dolores Hidalgo",242.601,252.561,243.066,2454.435,1538.785,1816.674,1298.067,1263.837,725.38,834.834,564.911,818.77,785.294,980.257,896.124,525.875,1221.448,1310.655,1177.131,1227.484,1401.726,1316.555,1444.838,746.371,544.853,0.0,58.594,159.629,137.161,148.442,65.962,440.621,357.745,376.342,369.034,217.021,220.268,351.93,265.281,338.976,453.061,389.573,574.17,161.03,526.364,523.592,351.085,320.393,372.618,290.784,359.109,239.521,320.958,213.192,378.273,343.396,290.447,380.933,170.226,253.151,264.933,232.512,243.162,301.566,293.414,245.838,295.427,412.771,411.962,460.279,615.752,528.471,640.522,643.955,548.168,734.765,853.597,713.668,1041.768,824.844,741.418,975.717,586.466,459.986,428.496,454.946,444.209,544.226,453.035,473.678,440.719,505.37,180.346,307.289,194.569,184.183,260.764,194.076,1643.506,1947.473,1853.775,379.428,390.707,95.802,462.613,955.438,1277.438,694.183,1124.112,1407.694,1868.474,1148.917,793.941,318.229,456.012,424.013,596.769,606.063,571.028,584.151,553.97,620.277,1691.299,1782.437,1632.487,1655.151,362.972,402.786,470.843,169.913,278.993,303.386
"Guanajuato, Mineral de Pozos",297.499,307.459,297.965,2477.827,1612.083,1889.973,1248.587,1214.356,715.671,825.125,555.202,809.06,775.584,970.547,886.415,599.173,1171.967,1261.175,1127.65,1178.004,1425.118,1339.946,1468.23,769.763,568.245,58.594,0.0,233.481,166.992,193.159,83.618,397.082,314.207,332.803,325.495,173.482,176.729,308.391,221.742,416.621,529.372,465.883,650.48,217.282,602.675,599.903,427.396,396.703,329.079,247.245,315.57,239.643,277.419,169.653,334.734,299.857,246.908,337.394,239.93,322.855,334.638,229.621,240.271,371.27,371.06,315.542,373.072,369.232,368.423,536.59,692.063,604.781,716.833,635.938,540.151,726.748,810.058,670.129,998.229,781.305,697.879,932.178,542.927,416.447,384.957,411.407,400.67,500.687,409.496,430.139,397.18,461.831,136.807,201.461,151.03,140.644,217.225,150.537,1599.967,1903.934,1810.236,371.411,284.879,87.785,454.596,1031.748,1353.748,770.493,1200.422,1484.005,1855.817,1105.379,785.924,310.212,412.473,380.474,553.23,562.142,527.489,540.612,510.431,576.738,1647.76,1738.898,1588.948,1611.612,377.548,459.038,485.419,226.165,355.625,317.963
"Guanajuato, Jalpa",206.747,191.043,192.214,2364.281,1395.073,1672.963,1382.513,1348.283,767.558,920.147,650.224,737.727,870.606,1065.57,981.437,382.163,1305.893,1395.101,1261.576,1311.93,1355.441,1270.269,1398.553,700.085,498.568,159.629,233.481,0.0,202.298,181.124,181.187,521.116,438.751,457.348,450.039,305.834,303.282,432.936,348.295,212.996,310.012,246.524,431.121,70.384,383.316,380.543,208.037,177.344,453.113,371.789,439.604,333.565,401.453,293.687,458.768,424.401,371.452,461.428,203.224,286.149,297.932,326.556,337.536,334.564,167.435,210.713,175.671,493.776,492.968,317.23,472.703,385.422,497.474,733.336,637.55,824.147,934.603,794.674,1122.773,905.85,822.423,1056.723,667.472,540.992,509.502,535.952,525.215,625.232,534.041,554.683,521.725,586.376,263.36,390.303,277.583,267.197,343.778,264.271,1724.511,2028.479,1934.78,468.81,473.721,229.133,551.995,812.389,1134.389,551.134,981.063,1264.646,1725.426,1229.923,883.322,407.611,537.018,505.018,677.775,686.687,652.034,665.156,634.975,701.283,1772.305,1863.443,1713.493,1736.157,318.796,305.523,426.331,198.253,150.423,259.21
"Guanajuato, Salvatierra",344.118,328.415,329.585,2512.288,1543.079,1820.969,1254.751,1220.521,866.142,975.597,705.673,875.099,926.056,1121.019,1036.886,526.293,1178.132,1267.339,1133.815,1184.168,1492.812,1407.641,1535.924,837.457,635.939,137.161,166.992,202.298,0.0,27.239,72.014,327.328,316.691,335.287,327.979,183.774,181.222,310.875,226.234,324.144,453.066,392.816,577.414,207.352,529.608,526.836,351.091,323.636,259.325,249.729,245.816,116.097,207.665,171.626,264.98,302.341,249.392,267.64,60.82,143.745,155.528,109.088,119.738,192.16,278.582,136.432,203.671,371.716,370.907,463.523,618.996,531.714,643.766,786.655,690.869,877.466,812.542,672.613,1000.713,783.789,700.363,934.662,545.411,418.931,387.441,413.891,403.154,503.171,411.98,432.623,399.665,464.315,141.3,268.242,155.523,145.137,221.718,142.21,1602.451,1906.418,1812.72,522.129,351.661,238.503,393.946,958.681,1280.681,697.426,1127.355,1410.938,1871.718,1107.863,936.641,460.93,414.957,382.958,555.714,565.008,529.973,543.096,512.915,579.222,1650.244,1741.382,1591.432,1614.096,453.611,451.816,561.145,316.073,329.952,394.025
